,交通技术监控对外公示点位列表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,序号,区县,公示名称,检测方向,设备类型,相交道路,
1,1,顺义,右堤路华中园路段,南向北,超速,右堤路,
2,2,顺义,龙塘路方兴检测场东侧路段,东向西,超速,龙塘路,
3,3,顺义,龙塘路方兴检测场东侧路段,东向西,非机动车道,龙塘路,
4,4,顺义,顺平南线柳各庄村路段,西向东,超速,顺平南线,
5,5,顺义,顺密路魏家店村路段,南向北,超速,顺密路,
6,6,顺义,顺密路魏家店村路段,北向南,超速,顺密路,
7,7,顺义,木燕路田家营村路段,南向北,超速,木燕路,
8,8,顺义,木燕路田家营村路段,北向南,超速,木燕路,
9,9,顺义,京密路荆卷村路段,南向北,超速,京密路,
10,10,顺义,京密路荆卷村路段,北向南,超速,京密路,
11,11,顺义,昌金路板桥村路段,东向西,超速,,昌金路
12,12,顺义,昌金路板桥村路段,西向东,超速,,昌金路
13,13,顺义,天北路东水泉村路段,南向北,超速,天北路,
14,14,顺义,天北路东水泉村路段,北向南,超速,天北路,
15,15,顺义,顺沙路张喜庄村路段,东向西,超速,,顺沙路
16,16,顺义,顺平路下营村路段,东向西,超速,,顺平路
17,17,顺义,顺平路下营村路段,西向东,超速,,顺平路
18,18,顺义,西马各庄路口,南向北,闯红灯,火寺路,顺于路
19,19,顺义,张镇路口,西向东,闯红灯,,顺平路
20,20,顺义,南法信路口,东向西,闯红灯,南焦路,顺平路
21,21,顺义,杨镇市场北口,东向西,闯红灯,市场一路,顺平路
22,22,顺义,杨镇西口,西向东,闯红灯,木燕路,顺平路
23,23,顺义,双裕路与裕华路交叉口,南向北,闯红灯,裕华路,双峪路
24,24,顺义,高下路口,西向东,闯红灯,高下路,顺沙路
25,25,顺义,李遂北口,南向北,闯红灯,李遂路,顺平南线
26,26,顺义,北河北口,东向西,闯红灯,平沿路,龙塘路
27,27,顺义,向阳村西口,北向南,闯红灯,顺安北路,白马路
28,28,顺义,张镇西口,东向西,闯红灯,七大路,顺平路
29,29,顺义,杜庄路口,东向西,闯红灯,杜尹路,顺平路
30,30,顺义,行宫路口,西向东,闯红灯,赵湘路,顺平路
31,31,顺义,河南村南口,东向西,闯红灯,平沿路,顺平南线
32,32,顺义,李家桥路口,南向北,闯红灯,通顺路,李天路
33,33,顺义,李遂北口,西向东,闯红灯,李遂路,顺平南线
34,34,顺义,牛栏山东口,西向东,闯红灯,顺安路,昌金路
35,35,顺义,十中西口,东向西,闯红灯,裕安路,顺平西延线
36,36,顺义,河庄路口,东向西,闯红灯,高下路,昌金路
37,37,顺义,魏家店东口,北向南,闯红灯,李木路,昌金路
38,38,顺义,古城路口,东向西,闯红灯,高白路,火沙路
39,39,顺义,火神营路口,南向北,闯红灯,京密路,火沙辅线
40,40,顺义,物流园路口,北向南,闯红灯,京密路,顺于路
41,41,顺义,衙门村路口,北向南,闯红灯,京密路,南陈路
42,42,顺义,田家营南口,南向北,闯红灯,木燕路,顺平南线
43,43,顺义,新村路口,东向西,闯红灯,顺康路,顺平路
44,44,顺义,裕安路与火沙辅线交叉口,南向北,闯红灯,裕安路,火沙辅线
45,45,顺义,仁和桥北口,南向北,闯红灯,西二环,顺平路
46,46,顺义,后薛各庄路口,西向东,闯红灯,李遂路,顺平路
47,47,顺义,于辛庄路口,西向东,闯红灯,李木路,顺平路
48,48,顺义,西华山路口,南向北,闯红灯,焦孙路,顺平南线
49,49,顺义,王辛庄路口,北向南,闯红灯,中干渠,顺平南线
50,50,顺义,右堤路口,西向东,闯红灯,右堤路,顺平南线
51,51,顺义,阎家渠路口,东向西,闯红灯,木燕辅路,龙塘路
52,52,顺义,安华街路口,北向南,闯红灯,安华街,天北路
53,53,顺义,北石槽南口,西向东,闯红灯,怀昌路,天北路
54,54,顺义,木林南口,西向东,闯红灯,木北路,顺密路
55,55,顺义,顺平路与石马路交叉口,西向东,闯红灯,石马路,顺平路
56,56,顺义,木邵路与龙林路交叉口,西向东,闯红灯,龙林路,木邵路
57,57,东城,新大陆西口,,电视监控,广场东侧路,新大陆
58,58,东城,人民大会堂南门,,电视监控,大会堂南路,
59,59,东城,西郊民巷东口,,电视监控,广场西侧路,
60,60,东城,王府井北口,,电视监控,东安门大街,王府井大街
61,61,东城,新东安商场正门,,电视监控,金鱼胡同,
62,62,东城,王府井书店,,电视监控,王府井大街,
63,63,东城,东单三条东口,,电视监控,东单三条,
64,64,东城,协和医院门前,,电视监控,东单北大街,
65,65,东城,台基厂路口,,电视监控,前门东大街,台基厂大街
66,66,东城,前门东路南口,,电视监控,珠市口东大街,
67,67,东城,珠市口,,电视监控,珠市口东大街,
68,68,东城,天坛北门,,电视监控,天坛路,
69,69,东城,天坛医院西门,,电视监控,永内大街,
70,70,东城,前门东路北口,,电视监控,前门东路,前门东大街
71,71,东城,龙潭湖三角地,,电视监控,龙潭路,
72,72,东城,北二环辅路北锣鼓巷北口,,电视监控,北二环辅路,
73,73,东城,北二环安定门西南匝道,,电视监控,北二环辅路,
74,74,东城,北二环辅路雍和大厦门前,,电视监控,北二环辅路,
75,75,东城,北二环歌华大厦,,电视监控,北二环辅路,
76,76,东城,北二环小街桥东签证处,,电视监控,北二环辅路,
77,77,东城,北二环辅路雍和宫北门,,电视监控,北二环辅路,
