,固定式交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,单位：北京市公安局公安交通管理局,,,时间：2015.9.24,,
1,序号,区县,名称,检测、行驶方向,相交道路,
2,1,顺义,火沙辅线裕祥花园北口,西向东,火沙辅线,
3,2,顺义,白马路与通顺路交叉口,东向西,通顺路,白马路
4,3,顺义,白马路与通顺路交叉口,西向东,通顺路,白马路
5,4,顺义,白马路白塔村北侧路段,东向西,白马路,
6,5,顺义,白马路白塔村北侧路段,西向东,白马路,
7,6,通州,新华南路潞河医院西门北侧,全方向,新华南路,
8,7,通州,新华南路潞河医院西门南侧机动车道,全方向,新华南路,
9,8,通州,新华南路潞河医院西门南侧非机动车道,全方向,新华南路,
10,9,通州,潞河医院西门南过街天桥南侧机动车道,全方向,新华南路,
11,10,通州,潞河医院西门南过街天桥南侧非机动车道,全方向,新华南路,
12,11,海淀,沙阳路东小营村,东向西,沙阳路,
13,12,海淀,沙阳路后章村 ,西向东,沙阳路,
14,13,海淀,北清路永泽路口,西向东,北清路,永泽南路
15,14,海淀,黄平路南口,东向西,建材城西路,黄平路
16,15,海淀,永秦庄路与后屯路交叉口,北向南,永秦庄北路,后屯路
17,16,海淀,志新西路石油大院路口,北向南,志新西路,
18,17,海淀,太子峪路与长兴路交叉口,东向西,长兴路,太子峪路
19,18,海淀,永丰路299号院门口,全方向,永丰路,
20,19,海淀,信息路与上地四街交叉口 西向东,东向西,信息路,上地四街
21,20,海淀,上地五街东口 东向西,东向西,上地东路,上地五街
22,21,海淀,上地六街西口 西向东,西向东,上地西路,上地六街
23,22,海淀,上地八街东口 东向西,东向西,上地东路,上地八街
24,23,海淀,双榆树三街东口,东向西,科学院南路,双榆树三街
25,24,丰台,葆台北路与葆台路交叉口,西向东,葆台路,葆台北路
26,25,丰台,石榴园路与宋庄路交叉口 ,东向西,石榴园路,宋庄路
27,26,丰台,石榴园路与宋庄路交叉口 ,西向东,石榴园路,宋庄路
28,27,丰台,石榴园路宋庄交通枢纽,北向南,石榴园路,
29,28,丰台,梅市口张仪村路口 ,西向东,梅市口路,张仪村路
30,29,丰台,丰科路四环辅路南第一个路口,南向北,丰科路,
31,30,丰台,丰科路四环辅路南第一个路口,北向南,丰科路,
32,31,丰台,丰科路与丰葆路交叉口南侧十字路口,北向南,丰科路,
33,32,丰台,丰园路与京良路交叉口,北向南,丰园路,
34,33,丰台,丰科路与丰葆路交叉口,南向北,丰科路,
35,34,丰台,长兴路开元食府路口,北向南,长兴路,
36,35,丰台,光彩路与石榴园路交叉口 东向西,东向西,光彩路,石榴园路
37,36,石景山,石景山体育场南路与体育场东街交叉口 东向西,东向西,石景山体育场南路,体育场东街
38,37,石景山,鲁谷路与鲁谷东街交叉口,南向北,鲁谷东街,鲁谷路
39,38,石景山,古城大街物美超市路口,北向南,古城大街,古城南路
40,39,大兴,南西路与同兴园小区南门交叉路口 ,东向西,南西路,
41,40,大兴,南西路与同兴园小区南门交叉路口,西向东,南西路,
42,41,朝阳,广顺北大街与香宾路交叉口,西向东,广顺北大街,香槟路
43,42,朝阳,广顺北大街与香宾路交叉口,东向西,广顺北大街,香槟路
44,43,朝阳,广顺北大街与香宾路交叉口,南向北,广顺北大街,香槟路
45,44,朝阳,广顺北大街辅路与香宾路交叉口,南向北,广顺北大街,香槟路
46,45,朝阳,广顺北大街辅路与香宾路交叉口,北向南,广顺北大街,香槟路
47,46,平谷,昌金路与胡靠路交叉口 南向北,南向北,胡靠路,昌金路
48,47,平谷,昌金路与胡靠路交叉口 东向西,东向西,胡靠路,昌金路
49,48,平谷,昌金路与熊南路交叉口 北向南,北向南,熊南路,昌金路
50,49,平谷,昌金路与熊南路交叉口 西向东,西向东,熊南路,昌金路
